danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,labels
0.168,0.00571,8,-36.245,1,0.0404,0.995,0.92,0.068,0.0705,78.043,181693,3,1
0.235,0.00858,10,-35.138,0,0.0356,0.993,0.901,0.0947,0.0526,77.518,81893,3,1
0.205,0.0525,1,-23.841,1,0.0327,0.98,0.906,0.103,0.0511,88.316,174653,4,1
0.273,0.00573,9,-39.245,1,0.0493,0.994,0.913,0.0857,0.174,91.621,193320,3,1
0.203,0.00435,7,-38.173,1,0.0445,0.994,0.959,0.0514,0.0374,74.299,193200,4,1
0.407,0.00616,7,-35.91,0,0.0384,0.994,0.949,0.0721,0.162,95.761,131333,1,1
0.254,0.0176,9,-29.087,1,0.0431,0.986,0.935,0.0418,0.0637,87.033,119427,4,1
0.354,0.183,7,-25.575,0,0.0448,0.993,0.897,0.12,0.529,125.519,75533,3,1
0.257,0.00982,2,-36.492,0,0.0345,0.987,0.706,0.0978,0.108,79.155,86760,3,1
0.427,0.0204,3,-31.351,1,0.0405,0.996,0.938,0.274,0.346,111.242,83227,1,1
0.12,0.106,0,-22.245,0,0.041,0.972,0.919,0.0802,0.0466,77.06,599653,4,1
0.45,0.00251,10,-38.718,1,0.0535,0.995,0.926,0.0571,0.0896,62.44,85707,5,1
0.184,0.00188,1,-47.432,1,0.046,0.993,0.95,0.0629,0.423,176.782,83093,4,1
0.418,0.00869,7,-37.257,1,0.0455,0.996,0.962,0.105,0.42,87.273,93507,4,1
0.157,0.0414,8,-28.365,1,0.0432,0.974,0.563,0.188,0.0358,135.039,154533,3,1
0.376,0.0192,4,-35.626,1,0.0394,0.995,0.874,0.0778,0.197,111.591,131667,3,1
0.424,0.146,7,-21.604,0,0.0373,0.984,0.889,0.109,0.189,115.817,227547,4,1
0.406,0.0062,9,-39.131,1,0.0573,0.996,0.95,0.0664,0.216,79.377,85240,4,1
0.331,0.169,9,-19.859,1,0.0325,0.994,0.886,0.121,0.258,97.836,253573,4,1
0.0,0.017,6,-33.687,0,0.0,0.972,0.854,0.0752,0.0,0.0,63800,0,1
0.156,0.0645,9,-24.416,1,0.0516,0.993,0.9,0.0757,0.0363,89.281,109493,3,1
0.247,0.00505,11,-30.467,1,0.0379,0.991,0.967,0.0838,0.0391,91.359,150322,4,1
